ID_Transaksi,Tanggal_Transaksi,Nama_Produk,Kategori_Produk,Nama_Pelanggan,Kota,Channel_Penjualan,Jumlah_Beli,Harga_Satuan,Diskon_Persen,Kode_Status_Pengiriman
TRX001,2024-01-05 08:30:15,iPhone 15,Smartphone, Budi Santoso,Jakarta,Website,1,21000000,10,DLV-02
TRX002,2024-01-05 14:22:30,Samsung Galaxy S24,Smartphone,Siti Lestari ,Bandung,Mobile App,1,18500000,10,DLV-02
TRX003,2024-01-05 19:45:10,Sony WH-1000XM5,Audio,Agus Wijaya,Jakarta,In-Store,2,5500000,0,DLV-02
TRX004,2024-01-06 09:10:05,Dell XPS 15,Laptop,Dewi Puspita,Surabaya,Website,1,32000000,15,SHP-01
TRX005,2024-01-06 11:55:45,Apple Watch Series 9,Aksesoris, Eko Prasetyo ,Yogyakarta,Mobile App,1,7500000,5,DLV-02
TRX006,2024-01-06 16:20:00,MacBook Air M2,Laptop,Budi Santoso,Jakarta,Website,1,23000000,10,DLV-02
TRX007,2024-01-07 21:05:30,JBL Charge 5,Audio,Fitri Handayani,Bandung,In-Store,1,2500000,0,DLV-02
TRX008,2024-01-07 13:15:20,Samsung Odyssey G9,Monitor,Gilang Ramadhan,Surabaya,Mobile App,1,28000000,15,SHP-01
TRX009,2024-01-07 10:40:10,Logitech MX Master 3S,Aksesoris,Hana Yuliana,Jakarta,Website,1,1800000,5,RTN-03
TRX010,2024-01-08 18:00:55,Google Pixel 8,Smartphone,Indra Maulana,Medan,Mobile App,1,15000000,10,DLV-02
TRX011,2024-01-08 12:30:00,AirPods Pro 2,Audio,Joko Susilo,Jakarta,In-Store,1,4000000,0,DLV-02
TRX012,2024-01-08 15:10:40,ASUS ROG Zephyrus G14,Laptop,Agus Wijaya,Jakarta,Website,1,29500000,15,CNL-04
TRX013,2024-01-09 17:50:25,Anker PowerCore 10000,Aksesoris,Siti Lestari ,Bandung,Mobile App,3,500000,5,DLV-02
TRX014,2024-01-09 20:25:15,LG UltraGear 27,Monitor,Budi Santoso,Jakarta,Website,1,9500000,10,DLV-02
TRX015,2024-01-09 14:05:05,Xiaomi 14,Smartphone,Kartika Sari,Semarang,In-Store,1,12000000,0,DLV-02
TRX016,2024-01-10 11:35:50,Lenovo ThinkPad X1 Carbon,Laptop,Lina Marlina,Surabaya,Mobile App,1,35000000,15,SHP-01
TRX017,2024-01-10 09:00:30,Bose QuietComfort Ultra,Audio,Mega Wati,Jakarta,Website,1,6200000,5,DLV-02
TRX018,2024-01-10 10:10:20,HP Spectre x360,Laptop,Nanda Putra,Bandung,Mobile App,1,26000000,10,DLV-02
TRX019,2024-01-11 16:45:10,Samsung Galaxy Watch 6,Aksesoris,Putri Amelia,Jakarta,In-Store,1,5000000,0,DLV-02
TRX020,2024-01-11 19:20:00,Razer Blade 15,Laptop,Budi Santoso,Jakarta,Website,1,42000000,15,SHP-01
TRX021,2024-02-12 08:45:10,iPhone 15,Smartphone, Eko Prasetyo ,Yogyakarta,Website,1,21000000,10,DLV-02
TRX022,2024-02-12 15:30:20,Samsung Galaxy S24,Smartphone,Fitri Handayani,Bandung,Mobile App,1,18500000,10,DLV-02
TRX023,2024-02-12 20:00:00,Sony WH-1000XM5,Audio,Gilang Ramadhan,Surabaya,In-Store,1,5500000,0,DLV-02
TRX024,2024-02-13 09:30:00,Dell XPS 15,Laptop,Hana Yuliana,Jakarta,Website,1,32000000,15,SHP-01
